src_ip,dst_ip,src_port, Destination Port,protocol,timestamp, Flow Duration,flow_byts_s,flow_pkts_s,fwd_pkts_s, Bwd Packets/s,tot_fwd_pkts,tot_bwd_pkts,Total Length of Fwd Packets,totlen_bwd_pkts,fwd_pkt_len_max, Fwd Packet Length Min, Fwd Packet Length Mean,fwd_pkt_len_std,bwd_pkt_len_max, Bwd Packet Length Min,bwd_pkt_len_mean, Bwd Packet Length Std,pkt_len_max, Min Packet Length,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max,flow_iat_min,flow_iat_std,Fwd IAT Total,fwd_iat_max,fwd_iat_min,fwd_iat_mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt, PSH Flag Count, ACK Flag Count, URG Flag Count,ece_flag_cnt, Down/Up Ratio,pkt_size_avg,Init_Win_bytes_forward, Init_Win_bytes_backward,active_max,active_min,active_mean,active_std,idle_max, Idle Min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg, min_seg_size_forward,bwd_seg_size_avg,cwe_flag_count, Subflow Fwd Bytes,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.43.3,111.221.29.254,39890,443,6,2021-06-01 14:42:39,1149412.3935699463,6213.6097017518205,17.400195188327697,9.570107353580234,7.830087834747464,11,9,2513,4629,1288.0,54.0,228.45454545454547,365.01117383553253,1414.0,54.0,514.3333333333334,576.1458148767549,1414,54,357.1,492.82896627531954,242880.39000000007,220,180,20,4,60495.38913526033,265559.43489074707,20.742416381835938,96311.78708766792,937972.5456237793,292427.06298828125,102.51998901367188,93797.25456237793,113071.54398166203,950228.9295196533,269074.9168395996,806.8084716796875,118778.61618995667,110372.06722229795,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,357.1,64240,1025,265456.9149017334,10311.84196472168,178685.95123291016,88752.40002879039,262110.71014404297,13623.714447021484,184010.4659398397,80114.12330717957,0.0,0.0,0.0,0.0,0.0,0.0,228.45454545454547,514.3333333333334,0,11,9,2513,4629,Benign
192.168.43.3,192.168.43.1,36366,53,17,2021-06-01 14:42:44,55321.93183898926,7989.598072721161,36.15202747837629,18.076013739188145,18.076013739188145,1,1,90,352,90.0,90.0,90.0,0.0,352.0,352.0,352.0,0.0,352,90,221.0,131.0,17161.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,221.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,352.0,0,1,1,90,352,Benign
192.168.43.3,192.168.43.1,42230,53,17,2021-06-01 14:42:44,53304.67224121094,6115.7865960568215,37.52016316599277,18.760081582996385,18.760081582996385,1,1,124,202,124.0,124.0,124.0,0.0,202.0,202.0,202.0,0.0,202,124,163.0,39.0,1521.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,163.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,202.0,0,1,1,124,202,Benign
192.168.43.3,192.168.43.1,43469,53,17,2021-06-01 14:42:45,31296.730041503906,8691.003809001431,63.90443977206935,31.952219886034676,31.952219886034676,1,1,84,188,84.0,84.0,84.0,0.0,188.0,188.0,188.0,0.0,188,84,136.0,52.0,2704.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,136.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,188.0,0,1,1,84,188,Benign
192.168.43.3,192.168.43.1,59958,53,17,2021-06-01 14:42:45,49125.43296813965,5272.218163816993,40.7121093731042,20.3560546865521,20.3560546865521,1,1,89,170,89.0,89.0,89.0,0.0,170.0,170.0,170.0,0.0,170,89,129.5,40.5,1640.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,129.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,170.0,0,1,1,89,170,Benign
192.168.43.3,13.226.159.20,60544,443,6,2021-06-01 14:42:45,7307902.812957764,864.2698406991669,3.5577922511365325,1.7788961255682663,1.7788961255682663,13,13,1483,4833,583.0,66.0,114.07692307692308,136.4722916585361,1414.0,54.0,371.7692307692308,553.6130492356766,1414,54,242.92307692307693,423.26986509580956,179157.37869822484,260,260,20,3,292316.11251831055,5369389.772415161,13.113021850585938,1043697.1630888201,6905983.448028564,5546258.687973022,71.28715515136719,575498.620669047,1505067.3691883492,7099581.718444824,5998516.321182251,13.113021850585938,591631.809870402,1634518.6991540126,0,0,0,0,1,0,0,0,0,0,0,1.0,242.92307692307693,64240,0,5369317.531585693,1800.2986907958984,909273.0454036167,1825515.1419078726,5192520.8568573,5992.17414855957,676683.0682754517,1511872.4635284194,0.0,0.0,0.0,0.0,0.0,0.0,114.07692307692308,371.7692307692308,0,13,13,1483,4833,Benign
192.168.43.3,192.168.43.1,48135,53,17,2021-06-01 14:42:46,3492.593765258789,71007.39927640112,572.6403167451704,286.3201583725852,286.3201583725852,1,1,124,124,124.0,124.0,124.0,0.0,124.0,124.0,124.0,0.0,124,124,124.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,0,1,1,124,124,Benign
192.168.43.3,192.168.43.1,57219,53,17,2021-06-01 14:42:46,57628.39317321777,3626.6844951202056,34.705114785839285,17.352557392919643,17.352557392919643,1,1,83,126,83.0,83.0,83.0,0.0,126.0,126.0,126.0,0.0,126,83,104.5,21.5,462.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,104.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,126.0,0,1,1,83,126,Benign
192.168.43.3,192.168.43.1,52466,53,17,2021-06-01 14:42:46,53295.85075378418,3865.216467819933,37.52637347397993,18.763186736989965,18.763186736989965,1,1,95,111,95.0,95.0,95.0,0.0,111.0,111.0,111.0,0.0,111,95,103.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,103.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,111.0,0,1,1,95,111,Benign
192.168.43.3,192.168.43.1,59037,53,17,2021-06-01 14:42:46,42812.347412109375,4624.834001603849,46.71549496569545,23.357747482847724,23.357747482847724,1,1,85,113,85.0,85.0,85.0,0.0,113.0,113.0,113.0,0.0,113,85,99.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,113.0,0,1,1,85,113,Benign
192.168.43.3,192.168.43.1,54027,53,17,2021-06-01 14:42:46,42603.492736816406,5116.951357643319,46.94450786828733,23.472253934143666,23.472253934143666,1,1,95,123,95.0,95.0,95.0,0.0,123.0,123.0,123.0,0.0,123,95,109.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,109.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,123.0,0,1,1,95,123,Benign
192.168.43.3,173.194.79.198,41870,443,6,2021-06-01 14:42:46,869393.8255310059,3138.968692736217,17.2534006563002,10.352040393780122,6.901360262520081,9,6,1502,1227,701.0,66.0,166.88888888888889,195.97020433641006,646.0,66.0,204.5,211.05903597492969,701,66,181.93333333333334,202.97896990137232,41200.46222222221,180,120,20,4,62099.558966500415,267664.90936279297,19.073486328125,97470.40607807577,676764.965057373,267714.0235900879,59.84306335449219,84595.62063217163,107648.23529586384,664236.7839813232,273158.31184387207,29.802322387695312,132847.35679626465,112087.90927804566,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,181.93333333333334,64240,266,267357.11097717285,186224.22218322754,219561.7357889811,34664.186438507204,263955.83152770996,7963.418960571289,170262.81356811523,85976.11524972688,0.0,0.0,0.0,0.0,0.0,0.0,166.88888888888889,204.5,0,9,6,1502,1227,Benign
